order_id,customer_id,order_date,product_id,quantity,order_total_usd,shipping_method,region
ORD-00055,CUST-01578,2025-04-05,PROD-0136,1,24.21,Standard,Northeast
ORD-00056,CUST-00215,2025-06-12,PROD-0007,2,57.78,Standard,Southwest
ORD-00057,CUST-00140,2025-04-24,PROD-0131,3,30.33,Express,West Coast
ORD-00058,CUST-00854,2025-04-05,PROD-0170,1,118.25,Standard,Southeast
ORD-00059,CUST-00998,2025-04-19,PROD-0139,1,27.53,Standard,Southeast
ORD-00060,CUST-00974,2025-04-19,PROD-0018,1,33.39,Standard,Southwest
ORD-00061,CUST-00835,2025-04-25,PROD-0140,3,109.26,Standard,Southwest
ORD-00062,CUST-00238,2025-06-15,PROD-0171,1,45.83,Standard,Southeast
ORD-00063,CUST-01571,2025-05-12,PROD-0070,1,414.62,Freight,Southeast
ORD-00064,CUST-00768,2025-04-02,PROD-0082,1,242.84,Standard,West Coast
ORD-00065,CUST-00531,2025-06-01,PROD-0012,3,189.45,Standard,West Coast
ORD-00066,CUST-00935,2025-04-14,PROD-0185,2,51.44,Standard,Northeast
ORD-00067,CUST-00238,2025-06-15,PROD-0043,1,45.8,Standard,Southeast
ORD-00068,CUST-01473,2025-06-22,PROD-0001,1,20.32,Express,Northeast
ORD-00069,CUST-00968,2025-06-29,PROD-0169,1,129.35,Standard,Midwest
ORD-00070,CUST-00615,2025-06-05,PROD-0031,1,36.33,Standard,Midwest
ORD-00071,CUST-00653,2025-05-07,PROD-0049,2,294.58,Express,Midwest
ORD-00072,CUST-01033,2025-06-22,PROD-0118,2,251.0,Express,Northeast
ORD-00073,CUST-01782,2025-04-25,PROD-0158,1,24.0,Standard,Northeast
ORD-00074,CUST-00300,2025-06-07,PROD-0121,2,232.74,Freight,Midwest
ORD-00075,CUST-01344,2025-05-25,PROD-0058,2,17.02,Standard,Midwest
ORD-00076,CUST-00035,2025-04-13,PROD-0097,5,32.0,Standard,Northeast
ORD-00077,CUST-00004,2025-05-03,PROD-0162,2,167.76,Standard,Southwest
ORD-00078,CUST-01263,2025-04-07,PROD-0187,2,81.9,Freight,Northeast
ORD-00079,CUST-00437,2025-04-05,PROD-0130,2,201.92,Standard,Midwest
ORD-00080,CUST-01329,2025-04-05,PROD-0125,1,74.94,Freight,Southwest
ORD-00081,CUST-00683,2025-04-17,PROD-0181,3,54.72,Freight,West Coast
ORD-00082,CUST-00037,2025-05-13,PROD-0180,2,138.0,Freight,Northeast
ORD-00083,CUST-01346,2025-06-17,PROD-0197,2,126.24,Express,Northeast
ORD-00084,CUST-00884,2025-06-11,PROD-0135,3,126.84,Express,Southeast
ORD-00085,CUST-01668,2025-04-11,PROD-0051,1,129.3,Express,West Coast
ORD-00086,CUST-01077,2025-04-07,PROD-0090,2,120.68,Express,Southwest
ORD-00087,CUST-00179,2025-05-24,PROD-0116,1,123.28,Standard,West Coast
ORD-00088,CUST-00010,2025-04-20,PROD-0132,1,53.89,Express,West Coast
ORD-00089,CUST-01126,2025-06-22,PROD-0056,3,274.32,Freight,West Coast
ORD-00090,CUST-00004,2025-04-26,PROD-0102,4,57.12,Standard,Southwest
ORD-00091,CUST-00216,2025-04-21,PROD-0175,2,252.52,Freight,Northeast
ORD-00092,CUST-00965,2025-04-16,PROD-0089,1,471.75,Standard,West Coast
ORD-00093,CUST-00350,2025-05-27,PROD-0006,1,16.65,Freight,Northeast
ORD-00094,CUST-01678,2025-04-21,PROD-0126,1,36.0,Express,Southeast
ORD-00095,CUST-01435,2025-05-28,PROD-0021,1,96.8,Standard,Southwest
ORD-00096,CUST-01085,2025-05-20,PROD-0087,1,32.93,Standard,Southwest
ORD-00097,CUST-00562,2025-05-26,PROD-0026,1,17.38,Freight,Northeast
ORD-00098,CUST-00363,2025-06-05,PROD-0124,3,66.57,Express,Southeast
ORD-00099,CUST-00090,2025-04-02,PROD-0160,1,37.27,Standard,Midwest
ORD-00100,CUST-01079,2025-06-26,PROD-0057,1,1395.29,Freight,Southeast
ORD-00101,CUST-00265,2025-06-01,PROD-0002,1,570.18,Freight,Southwest
ORD-00102,CUST-01132,2025-06-29,PROD-0038,1,162.76,Freight,Northeast
ORD-00103,CUST-00082,2025-05-02,PROD-0168,1,46.05,Express,Northeast
ORD-00104,CUST-00542,2025-04-03,PROD-0191,1,26.02,Freight,West Coast
ORD-00105,CUST-00357,2025-04-28,PROD-0061,3,216.27,Standard,Southwest
ORD-00106,CUST-00183,2025-04-05,PROD-0124,3,66.57,Express,Southwest
ORD-00107,CUST-01100,2025-06-22,PROD-0154,1,2075.65,Freight,Midwest
ORD-00108,CUST-00453,2025-05-14,PROD-0092,2,17.04,Standard,West Coast
ORD-00109,CUST-00786,2025-06-13,PROD-0074,2,150.2,Express,Southwest
ORD-00110,CUST-00834,2025-05-19,PROD-0034,3,72.6,Express,West Coast
ORD-00111,CUST-01065,2025-06-28,PROD-0078,1,69.33,Express,Northeast
ORD-00112,CUST-00960,2025-06-25,PROD-0156,4,2141.56,Standard,Midwest
ORD-00113,CUST-01149,2025-04-12,PROD-0011,2,169.02,Express,Midwest
ORD-00114,CUST-00761,2025-05-12,PROD-0045,2,54.1,Standard,Northeast
ORD-00115,CUST-01422,2025-04-12,PROD-0087,2,65.86,Standard,West Coast
ORD-00116,CUST-01097,2025-05-29,PROD-0129,2,78.42,Freight,Southeast
ORD-00117,CUST-01221,2025-04-20,PROD-0052,1,44.37,Express,Northeast
ORD-00118,CUST-00899,2025-04-08,PROD-0013,4,8930.2,Standard,Northeast
ORD-00119,CUST-01135,2025-05-31,PROD-0069,5,267.7,Express,Southwest
ORD-00120,CUST-01760,2025-06-16,PROD-0174,2,1039.28,Freight,Northeast
ORD-00121,CUST-00141,2025-06-19,PROD-0036,1,62.43,Freight,Midwest
ORD-00122,CUST-00390,2025-06-08,PROD-0055,1,18.56,Express,West Coast
ORD-00123,CUST-00298,2025-05-07,PROD-0146,1,32.72,Standard,Midwest
ORD-00124,CUST-00642,2025-06-20,PROD-0146,3,98.16,Standard,Midwest
ORD-00125,CUST-01771,2025-04-15,PROD-0115,2,2388.62,Standard,West Coast
ORD-00126,CUST-01515,2025-05-04,PROD-0143,5,623.65,Standard,Southeast
ORD-00127,CUST-00533,2025-04-22,PROD-0046,3,7185.18,Freight,Northeast
ORD-00128,CUST-01577,2025-05-25,PROD-0009,5,29.15,Express,West Coast
ORD-00129,CUST-01138,2025-05-12,PROD-0136,2,48.42,Standard,Southwest
ORD-00130,CUST-00916,2025-06-21,PROD-0164,1,154.42,Freight,Southwest
ORD-00131,CUST-00455,2025-06-13,PROD-0100,4,273.08,Standard,Southwest
ORD-00132,CUST-00221,2025-04-21,PROD-0132,2,107.78,Express,West Coast
ORD-00133,CUST-00533,2025-04-05,PROD-0069,6,321.24,Standard,Northeast
ORD-00134,CUST-00167,2025-04-21,PROD-0071,1,148.45,Express,West Coast
ORD-00135,CUST-00575,2025-06-15,PROD-0111,1,19.08,Express,West Coast
ORD-00136,CUST-01361,2025-05-02,PROD-0043,4,183.2,Standard,Northeast
ORD-00137,CUST-01344,2025-04-06,PROD-0164,1,154.42,Freight,West Coast
ORD-00138,CUST-01282,2025-04-06,PROD-0073,1,13.01,Express,Midwest
ORD-00139,CUST-01350,2025-04-29,PROD-0030,1,13.83,Express,Northeast
ORD-00140,CUST-00260,2025-06-02,PROD-0036,1,62.43,Standard,Midwest
ORD-00141,CUST-00803,2025-05-21,PROD-0044,2,799.48,Freight,West Coast
ORD-00142,CUST-01608,2025-06-06,PROD-0098,3,47.16,Standard,West Coast
ORD-00143,CUST-00325,2025-04-14,PROD-0103,1,43.4,Express,Midwest
ORD-00144,CUST-01747,2025-05-24,PROD-0031,2,72.66,Express,Southwest
ORD-00145,CUST-01022,2025-06-15,PROD-0069,1,53.54,Standard,Southeast
ORD-00146,CUST-00876,2025-04-26,PROD-0072,2,37.68,Standard,Southwest
ORD-00147,CUST-01254,2025-05-13,PROD-0175,2,252.52,Express,Northeast
ORD-00148,CUST-00938,2025-06-26,PROD-0031,3,108.99,Standard,West Coast
ORD-00149,CUST-00371,2025-05-29,PROD-0114,2,213.1,Standard,Northeast
ORD-00150,CUST-00349,2025-04-28,PROD-0036,2,124.86,Standard,Northeast
ORD-00151,CUST-00452,2025-04-26,PROD-0055,2,37.12,Express,Midwest
ORD-00152,CUST-01203,2025-05-19,PROD-0082,1,242.84,Standard,Northeast
ORD-00153,CUST-00342,2025-05-04,PROD-0100,1,68.27,Express,Southeast
ORD-00154,CUST-01747,2025-06-07,PROD-0155,3,1739.58,Freight,Northeast
ORD-00155,CUST-01743,2025-05-19,PROD-0001,1,20.32,Freight,Southeast
ORD-00156,CUST-00532,2025-05-23,PROD-0147,1,509.4,Freight,Southeast
ORD-00157,CUST-00685,2025-04-17,PROD-0036,2,124.86,Standard,Southwest
ORD-00158,CUST-00539,2025-06-15,PROD-0145,3,339.66,Express,Northeast
ORD-00159,CUST-00525,2025-05-08,PROD-0150,4,1850.92,Standard,Southwest
ORD-00160,CUST-01196,2025-04-30,PROD-0022,4,186.64,Express,Midwest
ORD-00161,CUST-01616,2025-04-07,PROD-0074,3,225.3,Standard,Midwest
ORD-00162,CUST-00349,2025-05-30,PROD-0009,1,5.83,Standard,Midwest
ORD-00163,CUST-01735,2025-04-12,PROD-0009,1,5.83,Standard,Midwest
ORD-00164,CUST-00195,2025-05-20,PROD-0017,1,123.55,Standard,Northeast
ORD-00165,CUST-00273,2025-06-17,PROD-0180,1,69.0,Express,Northeast
ORD-00166,CUST-00900,2025-04-15,PROD-0185,1,25.72,Standard,Southwest
ORD-00167,CUST-00066,2025-05-12,PROD-0100,3,204.81,Standard,Midwest
ORD-00168,CUST-00724,2025-04-10,PROD-0029,2,72.64,Standard,West Coast
ORD-00169,CUST-00943,2025-05-16,PROD-0051,2,258.6,Express,West Coast
ORD-00170,CUST-00028,2025-04-30,PROD-0046,1,2395.06,Freight,Southwest
ORD-00171,CUST-01285,2025-06-18,PROD-0088,3,38.7,Express,West Coast
ORD-00172,CUST-00515,2025-04-13,PROD-0092,2,17.04,Standard,Southeast
ORD-00173,CUST-00881,2025-04-09,PROD-0112,1,17.01,Standard,Southwest
ORD-00174,CUST-00398,2025-05-25,PROD-0136,1,24.21,Express,Southeast
ORD-00175,CUST-00936,2025-04-17,PROD-0107,3,221.97,Express,Southeast
ORD-00176,CUST-00301,2025-04-23,PROD-0006,3,49.95,Express,Southeast
ORD-00177,CUST-01746,2025-05-27,PROD-0141,4,162.24,Standard,Southwest
ORD-00178,CUST-00343,2025-04-30,PROD-0054,3,116.25,Standard,West Coast
ORD-00179,CUST-00496,2025-05-10,PROD-0143,1,124.73,Standard,Midwest
ORD-00180,CUST-00219,2025-04-12,PROD-0040,2,211.14,Standard,Northeast
ORD-00181,CUST-00643,2025-06-22,PROD-0068,1,22.56,Express,Southwest
ORD-00182,CUST-00379,2025-06-12,PROD-0168,1,46.05,Express,Midwest
ORD-00183,CUST-00143,2025-05-26,PROD-0136,1,24.21,Express,Southeast
ORD-00184,CUST-00167,2025-04-05,PROD-0061,1,72.09,Express,Northeast
ORD-00185,CUST-01760,2025-04-22,PROD-0142,4,168.44,Standard,Midwest
ORD-00186,CUST-01250,2025-06-25,PROD-0104,1,47.31,Freight,Southeast
ORD-00187,CUST-00347,2025-06-28,PROD-0156,1,535.39,Standard,Southwest
ORD-00188,CUST-00592,2025-05-18,PROD-0091,2,4867.94,Standard,Southeast
ORD-00189,CUST-00248,2025-04-06,PROD-0056,2,182.88,Express,Midwest
ORD-00190,CUST-00018,2025-05-10,PROD-0076,1,1143.38,Freight,Southeast
ORD-00191,CUST-01582,2025-06-27,PROD-0149,2,548.18,Standard,Northeast
ORD-00192,CUST-01104,2025-06-13,PROD-0024,1,88.26,Freight,Southeast
ORD-00193,CUST-01256,2025-04-29,PROD-0185,2,51.44,Standard,Southeast
ORD-00194,CUST-01394,2025-04-22,PROD-0129,1,39.21,Express,Southwest
ORD-00195,CUST-01195,2025-05-24,PROD-0166,3,438.66,Standard,Midwest
ORD-00196,CUST-00475,2025-04-12,PROD-0113,3,96.84,Standard,Southeast
ORD-00197,CUST-01163,2025-04-15,PROD-0194,1,44.0,Standard,Midwest
ORD-00198,CUST-00943,2025-04-01,PROD-0119,3,105.42,Standard,Northeast
ORD-00199,CUST-01514,2025-04-05,PROD-0171,1,45.83,Standard,Northeast
ORD-00200,CUST-00416,2025-04-12,PROD-0031,1,36.33,Standard,Midwest
ORD-00201,CUST-00509,2025-06-29,PROD-0067,1,29.57,Standard,Midwest
ORD-00202,CUST-00047,2025-04-25,PROD-0125,1,74.94,Express,Southwest
ORD-00203,CUST-01624,2025-05-16,PROD-0058,2,17.02,Standard,West Coast
ORD-00204,CUST-00221,2025-06-04,PROD-0029,1,36.32,Express,Southwest
ORD-00205,CUST-00134,2025-06-11,PROD-0009,2,11.66,Standard,Midwest
ORD-00206,CUST-01146,2025-06-11,PROD-0086,1,109.78,Express,Southwest
ORD-00207,CUST-01129,2025-05-25,PROD-0001,1,20.32,Standard,Southwest
ORD-00208,CUST-00374,2025-06-23,PROD-0016,4,134.96,Express,West Coast
ORD-00209,CUST-01645,2025-04-23,PROD-0143,2,249.46,Express,Northeast
ORD-00210,CUST-01241,2025-06-27,PROD-0186,3,1769.01,Freight,Northeast
ORD-00211,CUST-00024,2025-04-23,PROD-0191,1,26.02,Standard,West Coast
ORD-00212,CUST-01349,2025-06-14,PROD-0101,2,93.96,Express,Southwest
ORD-00213,CUST-00708,2025-06-15,PROD-0066,2,47.58,Express,Northeast
ORD-00214,CUST-00506,2025-05-11,PROD-0126,1,36.0,Express,Southwest
ORD-00215,CUST-01589,2025-05-04,PROD-0054,1,38.75,Freight,Southwest
ORD-00216,CUST-01194,2025-06-28,PROD-0062,1,409.78,Freight,Southwest
ORD-00217,CUST-01468,2025-04-22,PROD-0110,2,79.56,Standard,Southwest
ORD-00218,CUST-01320,2025-05-14,PROD-0004,1,2370.29,Standard,Northeast
ORD-00219,CUST-01175,2025-05-09,PROD-0167,2,66.04,Express,Midwest
ORD-00220,CUST-00152,2025-04-19,PROD-0160,3,111.81,Standard,West Coast
ORD-00221,CUST-00976,2025-06-26,PROD-0069,1,53.54,Express,West Coast
ORD-00222,CUST-01447,2025-06-21,PROD-0068,1,22.56,Standard,Northeast
ORD-00223,CUST-00576,2025-04-29,PROD-0185,3,77.16,Standard,West Coast
ORD-00224,CUST-00114,2025-06-15,PROD-0101,2,93.96,Standard,Southwest
ORD-00225,CUST-00760,2025-06-05,PROD-0066,3,71.37,Standard,Midwest
ORD-00226,CUST-00899,2025-05-22,PROD-0137,5,89.0,Standard,Midwest
ORD-00227,CUST-01421,2025-06-03,PROD-0023,1,357.11,Freight,Northeast
ORD-00228,CUST-00056,2025-06-12,PROD-0092,1,8.52,Standard,West Coast
ORD-00229,CUST-01552,2025-06-18,PROD-0031,3,108.99,Express,West Coast
ORD-00230,CUST-00278,2025-04-14,PROD-0116,1,123.28,Express,West Coast
ORD-00231,CUST-00775,2025-04-16,PROD-0007,3,86.67,Standard,Northeast
ORD-00232,CUST-00502,2025-05-24,PROD-0118,3,376.5,Freight,Northeast
ORD-00233,CUST-01752,2025-06-06,PROD-0159,1,50.89,Freight,Midwest
ORD-00234,CUST-01381,2025-06-20,PROD-0085,1,131.72,Express,Northeast
ORD-00235,CUST-01790,2025-04-03,PROD-0140,3,109.26,Standard,Southeast
ORD-00236,CUST-00131,2025-06-09,PROD-0061,1,72.09,Freight,Southeast
ORD-00237,CUST-00054,2025-06-17,PROD-0197,1,63.12,Express,Midwest
ORD-00238,CUST-01391,2025-05-01,PROD-0121,1,116.37,Standard,West Coast
ORD-00239,CUST-01577,2025-06-27,PROD-0072,2,37.68,Standard,Southwest
ORD-00240,CUST-00300,2025-04-29,PROD-0104,2,94.62,Standard,Midwest
ORD-00241,CUST-00450,2025-06-08,PROD-0098,4,62.88,Standard,Northeast
ORD-00242,CUST-01594,2025-04-16,PROD-0015,4,22.84,Freight,West Coast
ORD-00243,CUST-00338,2025-05-18,PROD-0159,4,203.56,Standard,Midwest
ORD-00244,CUST-01034,2025-04-30,PROD-0161,3,36.48,Express,Southwest
ORD-00245,CUST-00073,2025-06-21,PROD-0183,3,68.46,Standard,Northeast
ORD-00246,CUST-01710,2025-04-30,PROD-0139,1,27.53,Standard,Southeast
ORD-00247,CUST-00421,2025-04-05,PROD-0196,3,325.92,Standard,West Coast
ORD-00248,CUST-01630,2025-05-21,PROD-0174,2,1039.28,Freight,Southwest
ORD-00249,CUST-00034,2025-04-15,PROD-0017,1,123.55,Express,Northeast
ORD-00250,CUST-00350,2025-05-31,PROD-0003,5,618.4,Express,West Coast
ORD-00251,CUST-00273,2025-04-23,PROD-0113,4,129.12,Express,West Coast
ORD-00252,CUST-00841,2025-05-11,PROD-0076,2,2286.76,Freight,Southwest
ORD-00253,CUST-00495,2025-05-30,PROD-0156,1,535.39,Standard,Midwest
ORD-00254,CUST-01344,2025-04-02,PROD-0159,1,50.89,Standard,Midwest
ORD-00255,CUST-00166,2025-06-17,PROD-0031,2,72.66,Express,West Coast
ORD-00256,CUST-01015,2025-06-09,PROD-0074,3,225.3,Standard,Northeast
ORD-00257,CUST-00212,2025-05-24,PROD-0138,3,74.28,Standard,West Coast
ORD-00258,CUST-00960,2025-05-06,PROD-0045,1,27.05,Express,Northeast
ORD-00259,CUST-01312,2025-05-15,PROD-0046,1,2395.06,Standard,West Coast
ORD-00260,CUST-00616,2025-04-12,PROD-0108,3,932.88,Freight,Northeast
ORD-00261,CUST-00983,2025-05-06,PROD-0166,2,292.44,Standard,Midwest
ORD-00262,CUST-01561,2025-05-20,PROD-0088,2,25.8,Freight,Midwest
ORD-00263,CUST-00888,2025-05-07,PROD-0036,4,249.72,Express,Southeast
ORD-00264,CUST-01737,2025-04-20,PROD-0181,1,18.24,Standard,Southwest
ORD-00265,CUST-00078,2025-06-29,PROD-0061,1,72.09,Freight,West Coast
ORD-00266,CUST-00347,2025-05-17,PROD-0162,2,167.76,Standard,Midwest
ORD-00267,CUST-00955,2025-06-29,PROD-0035,3,59.49,Standard,West Coast
ORD-00268,CUST-01415,2025-05-17,PROD-0185,1,25.72,Express,Northeast
ORD-00269,CUST-00793,2025-04-01,PROD-0080,2,893.96,Freight,Midwest
ORD-00270,CUST-01256,2025-06-28,PROD-0197,2,126.24,Standard,Midwest
ORD-00271,CUST-01607,2025-04-25,PROD-0041,1,904.85,Standard,Southeast
ORD-00272,CUST-00182,2025-05-30,PROD-0142,4,168.44,Express,Northeast
ORD-00273,CUST-01736,2025-06-29,PROD-0011,2,169.02,Express,Midwest
ORD-00274,CUST-00305,2025-04-21,PROD-0086,1,109.78,Express,West Coast
ORD-00275,CUST-01414,2025-04-30,PROD-0007,1,28.89,Express,West Coast
ORD-00276,CUST-01716,2025-06-07,PROD-0189,1,242.98,Freight,Southwest
ORD-00277,CUST-01532,2025-04-22,PROD-0179,1,22.09,Express,West Coast
ORD-00278,CUST-01511,2025-05-15,PROD-0048,2,183.1,Standard,Midwest
ORD-00279,CUST-00663,2025-05-09,PROD-0031,3,108.99,Standard,Midwest
ORD-00280,CUST-00231,2025-06-13,PROD-0179,4,88.36,Standard,Southwest
ORD-00281,CUST-00012,2025-04-08,PROD-0142,2,84.22,Express,Southeast
ORD-00282,CUST-00855,2025-04-08,PROD-0100,1,68.27,Standard,Midwest
ORD-00283,CUST-00040,2025-04-07,PROD-0126,1,36.0,Standard,Southwest
ORD-00284,CUST-01307,2025-06-12,PROD-0052,1,44.37,Express,Midwest
ORD-00285,CUST-00031,2025-04-07,PROD-0114,2,213.1,Express,Midwest
ORD-00286,CUST-00802,2025-04-20,PROD-0167,1,33.02,Standard,Northeast
ORD-00287,CUST-01156,2025-05-23,PROD-0151,1,30.82,Express,Southwest
ORD-00288,CUST-00556,2025-04-24,PROD-0166,2,292.44,Standard,Midwest
ORD-00289,CUST-01639,2025-06-12,PROD-0035,1,19.83,Standard,Northeast
ORD-00290,CUST-00922,2025-05-14,PROD-0103,2,86.8,Express,Midwest
ORD-00291,CUST-01326,2025-04-21,PROD-0001,1,20.32,Standard,Northeast
ORD-00292,CUST-00388,2025-06-03,PROD-0108,2,621.92,Freight,Southwest
ORD-00293,CUST-00607,2025-05-30,PROD-0127,4,81.96,Express,West Coast
ORD-00294,CUST-00716,2025-04-03,PROD-0153,1,1035.1,Standard,West Coast
ORD-00295,CUST-00143,2025-04-02,PROD-0022,5,233.3,Freight,Southeast
ORD-00296,CUST-00609,2025-05-24,PROD-0066,1,23.79,Standard,Southwest
ORD-00297,CUST-01017,2025-04-28,PROD-0060,1,65.3,Express,Northeast
ORD-00298,CUST-01518,2025-04-24,PROD-0101,3,140.94,Standard,Northeast
ORD-00299,CUST-00422,2025-05-05,PROD-0126,2,72.0,Freight,West Coast
ORD-00300,CUST-01136,2025-05-09,PROD-0151,1,30.82,Express,Midwest
ORD-00301,CUST-00497,2025-06-24,PROD-0094,2,424.88,Freight,Southeast
ORD-00302,CUST-00743,2025-06-27,PROD-0157,1,26.93,Freight,Southwest
ORD-00303,CUST-01073,2025-05-25,PROD-0109,2,35.88,Express,West Coast
ORD-00304,CUST-00159,2025-06-22,PROD-0074,1,75.1,Express,West Coast
ORD-00305,CUST-01260,2025-04-06,PROD-0015,1,5.71,Standard,Southwest
ORD-00306,CUST-00922,2025-05-28,PROD-0051,4,517.2,Express,Midwest
ORD-00307,CUST-01682,2025-04-29,PROD-0017,2,247.1,Standard,West Coast
ORD-00308,CUST-00775,2025-06-26,PROD-0080,2,893.96,Standard,West Coast
ORD-00309,CUST-00734,2025-06-04,PROD-0050,2,3980.32,Standard,West Coast
ORD-00310,CUST-01567,2025-05-29,PROD-0181,1,18.24,Standard,Southwest
ORD-00311,CUST-00310,2025-06-07,PROD-0005,1,69.8,Standard,Midwest
ORD-00312,CUST-00847,2025-06-19,PROD-0129,1,39.21,Standard,West Coast
ORD-00313,CUST-00371,2025-06-13,PROD-0069,2,107.08,Express,Southeast
ORD-00314,CUST-00616,2025-05-25,PROD-0032,1,21.79,Standard,West Coast
ORD-00315,CUST-00174,2025-04-30,PROD-0157,3,80.79,Standard,Southwest
ORD-00316,CUST-01074,2025-05-26,PROD-0152,2,90.96,Freight,Northeast
ORD-00317,CUST-00139,2025-06-11,PROD-0133,1,146.99,Express,West Coast
ORD-00318,CUST-00546,2025-06-17,PROD-0034,1,24.2,Standard,Northeast
ORD-00319,CUST-01571,2025-04-05,PROD-0190,1,6.0,Standard,Northeast
ORD-00320,CUST-01194,2025-05-30,PROD-0116,1,123.28,Standard,Southwest
ORD-00321,CUST-01041,2025-05-23,PROD-0133,1,146.99,Standard,Northeast
ORD-00322,CUST-01547,2025-06-26,PROD-0002,1,570.18,Freight,Southwest
ORD-00323,CUST-00205,2025-05-04,PROD-0153,1,1035.1,Freight,Northeast
ORD-00324,CUST-00243,2025-06-28,PROD-0084,1,1526.62,Standard,Northeast
ORD-00325,CUST-00376,2025-05-21,PROD-0119,4,140.56,Express,Southwest
